order_id,customer_id,order_date,status,total_amount,shipping_method,shipping_address,billing_address,payment_method,delivery_date,site_id
ORD0000001,CUS000084,2024-10-03 01:51:41,Delivered,3684.74,Express,3563 Ashley Wall Apt. 125,3563 Ashley Wall Apt. 125,PayPal,2024-10-08,LOC007
ORD0000002,CUS000059,2024-10-02 11:44:41,Delivered,6728.5,Pick up in store,604 Jones Courts Apt. 869,604 Jones Courts Apt. 869,Credit Card,2024-10-07,LOC015
ORD0000003,CUS000020,2024-10-03 01:12:41,Delivered,7234.72,Standard,63649 Robinson Court,63649 Robinson Court,PayPal,2024-10-04,LOC008
ORD0000004,CUS000080,2024-10-03 03:39:41,Delivered,7742.98,Express,84198 Mitchell Light,84198 Mitchell Light,Credit Card,2024-10-06,LOC015
ORD0000005,CUS000040,2024-10-03 04:30:41,Delivered,3712.96,Pick up in store,9433 Jackie Key,9433 Jackie Key,Bank Transfer,2024-10-09,LOC011
ORD0000006,CUS000090,2024-10-03 08:52:41,Delivered,2571.16,Next Day,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,PayPal,2024-10-10,LOC019
ORD0000007,CUS000028,2024-10-03 01:32:41,Delivered,4090.2700000000004,Standard,4548 Rose Corner,4548 Rose Corner,Credit Card,2024-10-09,LOC005
ORD0000008,CUS000017,2024-10-02 14:19:41,Delivered,6199.200000000001,Express,4207 Craig Causeway,4207 Craig Causeway,Bank Transfer,2024-10-08,LOC017
ORD0000009,CUS000074,2024-10-03 10:13:41,Delivered,2425.2,Express,42549 Zavala Lakes Suite 652,42549 Zavala Lakes Suite 652,Credit Card,2024-10-08,LOC008
ORD0000010,CUS000030,2024-10-02 23:50:41,Delivered,1649.9,Standard,56818 Wright Drives,56818 Wright Drives,Credit Card,2024-10-08,LOC017
ORD0000011,CUS000048,2024-10-03 09:18:41,Delivered,237.9,Next Day,1997 Shelly Shore,1997 Shelly Shore,Credit Card,2024-10-06,LOC010
ORD0000012,CUS000036,2024-10-02 22:03:41,Delivered,3712.96,Express,4716 Felicia Trafficway Apt. 051,4716 Felicia Trafficway Apt. 051,PayPal,2024-10-03,LOC001
ORD0000013,CUS000072,2024-10-02 20:45:41,Delivered,4439.049999999999,Express,022 Brennan Vista,022 Brennan Vista,PayPal,2024-10-09,LOC017
ORD0000014,CUS000053,2024-10-02 19:30:41,Delivered,2632.99,Next Day,92512 Armstrong Station,92512 Armstrong Station,Credit Card,2024-10-08,LOC017
ORD0000015,CUS000090,2024-10-03 06:15:41,Delivered,2316.9399999999996,Next Day,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,PayPal,2024-10-04,LOC004
